COUNTY,Code,RPL_THEMES
Yakima,YA,0.9277
Lewis,LE,0.7889
Asotin,AS,0.4248
Skamania,SK,0.2194
Stevens,ST,0.4615
Clark,CL,0.2857
Thurston,TH,0.3299
Cowlitz,CO,0.7885
Garfield,GA,0.1834
Grays Harbor,GR,0.8392
Island,IS,0.1857
Kitsap,KI,0.2825
Kittitas,KI,0.2831
Mason,MA,0.6382
Klickitat,KL,0.5723
San Juan,SA,0.0863
Snohomish,SN,0.2755
Benton,BE,0.514
Chelan,CH,0.678
Clallam,CL,0.6146
Jefferson,JE,0.2414
Lincoln,LI,0.1984
Pierce,PI,0.4873
Spokane,SP,0.4825
Walla Walla,WA,0.6831
Whatcom,WH,0.4541
Ferry,FE,0.8223
Okanogan,OK,0.9255
Columbia,CO,0.3146
Douglas,DO,0.7707
Pacific,PA,0.736
Pend Oreille,PE,0.536
Skagit,SK,0.5382
Wahkiakum,WA,0.1809
King,KI,0.2854
Whitman,WH,0.5108
Grant,GR,0.8452
Franklin,FR,0.8691
Adams,AD,0.9621
